"ids" "sem_id" "cls_id" "expected_grade" "like_subject" "had_teacher_before" "like_teacher" "course_challenging"
113214 1 237 4 4 0 3 1
121470 1 237 3 2 0 3 3
122728 1 237 4 2 0 3 2
125522 1 237 4 3 0 3 4
126359 1 237 4 4 0 4 3
122706 1 237 4 3 0 3 3
122710 1 237 4 2 0 4 2
122723 1 237 4 2 0 2 3
129483 1 237 3 2 0 3 3
139163 1 237 4 1 0 2 3
141006 1 237 4 3 0 3 2
151812 1 237 4 2 0 2 4
115909 1 237 4 3 0 4 3
125567 1 237 4 4 0 4 2
127535 1 237 4 3 0 3 2
138473 1 237 4 2 0 4 3
144882 1 237 3 2 0 2 2
149552 1 237 4 3 0 4 3
122714 1 237 4 3 0 3 3
122724 1 237 3 2 0 3 4
122726 1 237 4 3 0 3 2
122732 1 237 4 3 0 3 2
122734 1 237 4 3 0 3 2
128033 1 237 4 3 0 3 1
140271 1 237 4 4 0 4 2
NA 1 237 NA NA NA NA NA
113214 2 237 2 3 NA 3 NA
121470 2 237 1 1 NA 1 NA
122728 2 237 3 3 NA 3 NA
125522 2 237 4 1 NA 1 NA
126359 2 237 4 3 NA 4 NA
122706 2 237 4 3 NA 3 NA
122710 2 237 4 3 NA 3 NA
122723 2 237 4 2 NA 2 NA
129483 2 237 4 2 NA 3 NA
139163 2 237 4 3 NA 3 NA
141006 2 237 4 2 NA 3 NA
151812 2 237 4 3 NA 2 NA
115909 2 237 3 3 NA 4 NA
127535 2 237 NA NA NA NA NA
138473 2 237 4 2 NA 3 NA
144882 2 237 2 2 NA 2 NA
149552 2 237 4 3 NA 3 NA
122714 2 237 4 3 NA 3 NA
122724 2 237 4 3 NA 4 NA
122726 2 237 3 3 NA 3 NA
122732 2 237 4 3 NA 3 NA
122734 2 237 4 3 NA 2 NA
128033 2 237 4 2 NA 3 NA
140271 2 237 4 3 NA 4 NA
127761 2 237 4 1 NA 1 NA
